precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta;CCAA
1.200 €/mes;;/alquilar/piso-berango_centro_urbano-42524166154_109300/;Berango;2 habs.;2 baños;60 m²;"La vivienda consta de&nbsp; dos dormitorios, dos baños completos con plato de ducha y mampara y salón-comedor-cocina.
La cocina es...";43.3617725;-2.9950802;;vizcaya_bizkaia
1.350 €/mes;;/alquilar/piso-iralabarri48003-43422788133_109300/;Iralabarri (Distrito Errekalde. Bilbao);4 habs.;2 baños;95 m²;Estudiantes, alquiler de piso en san adrián.  Cerca de parada autobús a la upv. Vivienda de 4 habitaciones exteriores y luminosas,...;43.2492718;-2.934434;;vizcaya_bizkaia
2.300 €/mes;;/alquilar/piso-abando_ensanche48008-43431048370_109300/;Abando Ensanche (Distrito Abando. Bilbao);5 habs.;2 baños;150 m²;Estudiantes!! Disponible próximo curso. Estupendo piso en abando. La vivienda es muy amplia y se distribuye en hall, salón comedor...;43.2597207;-2.930089;;vizcaya_bizkaia
900 €/mes;Piso en Abaro Etorbidea, nº Sin Informacion;/alquilar/piso-portugalete_centro-45883544830_109300/;Centro (Portugalete);2 habs.;1 baño;84 m²;Piso alto, con mucha luz. No dispone de ascensor. En el centro de portugalete, piso de 84 m² distribuidos en amplio salón, dos hab...;43.3223185;-3.0230337;5ª planta;vizcaya_bizkaia
3.600 €/mes;Dúplex en calle de Gustavo Adolfo Becquer, 1;/alquilar/duplex-andra_mari48993-45012909894_109800/;Andra Mari (Getxo);3 habs.;3 baños;220 m²;"Dúplex amueblado con exquisito gusto y con magníficas vistas al
Mar, en la zona de santa maría de getxo junto al molino de
Aixerro...";43.359314;-3.0175848;2ª planta;vizcaya_bizkaia
1.320 €/mes;;/alquilar/piso-indautxu48011-8373425821_102200/;Indautxu (Bilbao);1 hab.;1 baño;68 m²;"Atehome alquila exclusivo ático con terraza en el emblemático edificio sota. 

Piso de 68m² distribuidos en un amplio salón con ac...";43.2642277;-2.9373675;8ª planta;vizcaya_bizkaia
2.200 €/mes;Piso en calle Ormetxe, 12;/alquilar/piso-neguri_aiboa48992-45015157803_100500/;Neguri-Aiboa (Getxo);3 habs.;3 baños;109 m²;¡Descubre tu nuevo hogar en neguri! Este impresionante piso de obra nueva a estrenar te ofrece el lujo y la comodidad que siempre ...;43.3422;-3.00495;2ª planta;vizcaya_bizkaia
1.200 €/mes;;/alquilar/piso-zabala48003-35837574453_109300/;Zabala (Distrito Ibaiondo. Bilbao);3 habs.;1 baño;70 m²;Alquiler de piso por temporadas, ideal estudiantes, trabajadores, temporadas cortas. Vivienda totalmente reformada y equipada. La ...;43.2523172;-2.934352;;vizcaya_bizkaia
1.200 €/mes;;/alquilar/piso-san_ignazio_elorrieta48015-41695993953_102200/;San Ignazio-Elorrieta (Distrito Deustu. Bilbao);3 habs.;1 baño;105 m²;"Se alquila piso para trabajadores temporales o estudiantes curso 2024/2025 en avda. lehendakari aguirre

95 m²   hall, amplio saló...";43.278998;-2.96122;3ª planta;vizcaya_bizkaia
990 €/mes;Piso en calle de Urazurrutia, 35;/alquilar/piso-bilbo_zaharra48003-45041651710_521979/;Bilbo Zaharra (Distrito Ibaiondo. Bilbao);3 habs.;1 baño;70 m²;"Solo estudiantes !!!!! Sep 2024/junio 2025 se alquila este acogedor piso en bilbao, ubicado en la zona de bilbao la vieja.
Se soli...";43.251408;-2.922974;Sótano;vizcaya_bizkaia
