precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta;CCAA
765.000 €;Casa en calle Perelada, nº 119;/comprar/casa-orena-1735373122_427100/;Oreña (Alfoz de Lloredo);4 habs.;3 baños;494 m²;Oreña, una pequeña y pintoresca localidad del municipio costero de alfoz de lloredo, entre santillana y comillas. Lugar perfecto d...;43.39910609107628;-4.156792280511944;;cantabria
135.000 €;;/comprar/apartamento-noja_ris-44173700040_287500/;Ris (Noja);2 habs.;1 baño;60 m²;Ref 000146 - nojasol inmobiliaria vende en noja, en exclusiva,  en la zona de ris, coqueto apartamento con plaza de garaje junto a...;43.487712272;-3.529134352;1ª planta;cantabria
259.000 €;;/comprar/piso-suances_centro_urbano-37527938462_997994/;Suances;2 habs.;1 baño;76 m²;¡No pierdas la oportunidad de vivir cerca de la playa en este maravilloso piso en venta! Ubicado en una finca cerrada con todas la...;43.433044758;-4.045380479;1ª planta;cantabria
575.000 €;;/comprar/casa-puerto_chico39004-45032617227_990805/;Puerto Chico (Santander);5 habs.;2 baños;165 m²;"¡Descubre el chalet independiente en la calle canalejas que siempre has soñado! 

Con 165 m² distribuidos en dos acogedoras planta...";43.4656406;-3.7879588;;cantabria
380.000 €;;/comprar/chalet-laredo_el_puntal-43409586294_108500/;El Puntal (Laredo);5 habs.;4 baños;245 m²;Desde inmobiliaria uranga os presentamos este chalet pareado que forma parte de una residencia privada en laredo en la zona del pu...;43.427671473;-3.448087664;;cantabria
299.000 €;Dúplex en calle del Revellón, 1;/comprar/duplex-laredo_centro39770-45881347283_515274/;Centro (Laredo);3 habs.;3 baños;115 m²;Desde pisos laredo os presentamos este fantástico dúplex en el centro de laredo, perfecto para entrar a vivir, de 103 metros cuadr...;43.411686;-3.411496;3ª planta;cantabria
590.000 €;;/comprar/chalet-ampuero_centro_urbano-44226217858_100500/;Ampuero;10 habs.;5 baños;805 m²;Inmobiliaria ezker aldea pone en venta imponente casón indiano de principios del siglo xx en el idílico municipio de ampuero, cant...;43.352673473;-3.41785534;;cantabria
79.000 €;;/comprar/apartamento-el_astillero_centro_urbano-44191923576_181900/;El Astillero;1 hab.;1 baño;47 m²;"Apartamento  en guarnizo de 1 habitación. Todo exterior .
Ascensor y calefacción de gas natural.";43.405359068;-3.837738063;3ª planta;cantabria
237.000 €;;/comprar/duplex-colindres_centro_urbano-8338836494_106000/;Colindres;5 habs.;3 baños;Más de 20;"Duplex en urbanización  tranquila, con  piscina  y  jardines.
En la primera planta disponemos de un gran salón comedor, cocina equ...";43.397467307;-3.444758364;;cantabria
209.000 €;;/comprar/piso-laredo_centro39770-43336842628_106000/;Centro (Laredo);3 habs.;2 baños;;"¡Amplio y luminoso piso en el centro de laredo!

Desde inmobiliaria mi villa les presentamos este maravilloso piso de 115m² en el ...";43.413148955;-3.415600326;2ª planta;cantabria
329.000 €;;/comprar/chalet_unifamiliar-carasa-42532910952_100900/;Carasa (Voto);3 habs.;2 baños;238 m²;¿Estás buscando una vivienda extraordinaria? La has encontrado!!! Para segunda residencia, para teletrabajar viviendo en una zona ...;43.372277544;-3.468713917;;cantabria
430.000 €;;/comprar/casa-pielagos_arce-45055116335_109300/;Arce (Piélagos);4 habs.;3 baños;146 m²;En venta majestuosa casa en la mina, bellísima propiedad que combina elegancia y confort en un entorno incomparable. Situada en un...;43.417490895;-3.940442171;;cantabria
300.000 €;;/comprar/chalet-limpias_centro_urbano-25867201068_100500/;Limpias;3 habs.;2 baños;200 m²;"Chalet independiente con 900 m² de terreno en limpias.
En la planta baja se encuentra un salón comedor, cocina equipada, cuarto de...";43.364403099;-3.416251721;;cantabria
490.000 €;;/comprar/casa_pareada-centro_urbano_distrito39609-44208710256_100500/;Centro Urbano (Camargo);5 habs.;3 baños;305 m²;"Exclusivo chalet en una zona privilegiada de muriedas, a menos de 10 minutos de santander. 

Ubicado en una tranquila urbanización...";43.400056538;-3.888943238;;cantabria
155.000 €;;/comprar/apartamento-trengandin-42554070774_287500/;Trengandín (Noja);2 habs.;1 baño;58 m²;Ref 000152 - nojasol inmobiliaria vende en noja, bonito bajo con jardín, muy discreto y soleado, en urbanización privada con jardi...;43.483128113;-3.527205148;Bajo;cantabria
285.000 €;;/comprar/piso-laredo_el_puntal-45922456336_108500/;El Puntal (Laredo);2 habs.;2 baños;95 m²;Desde inmobiliaria uranga en laredo os presentamos este bajo que hace esquina con jardín en laredo en primera línea de playa. La v...;43.423379676;-3.445572049;;cantabria
129.000 €;;/comprar/chalet-barcena_de_cicero_centro_urbano-45038459362_108500/;Bárcena de Cicero;3 habs.;3 baños;150 m²;Casa de pueblo en exclusiva sin terreno. Desde inmobiliaria uranga os presentamos en exclusiva  este casa de pueblo sin terreno co...;43.417457801;-3.482899457;;cantabria
750.000 €;;/comprar/chalet-pedrena-43368463030_101800/;Pedreña (Marina de Cudeyo);6 habs.;6 baños;300 m²;Pedreña. Urbanización privada con seguridad. Magnifico y exclusivo chalet adosado de 300m² con vistas a la bahía. Éste chalet, de ...;43.4446;-3.76523;;cantabria
194.840 €;Piso en Avenida del Voluntariado, 7;/comprar/piso-penacastillo_nueva_montana39011-4573510370_109700/;Peñacastillo-Nueva Montaña (Santander);2 habs.;2 baños;90 m²;Piso en un edificio de obra nueva de 90 m2 de superficie construida y ubicado en la zona de Santander, enclavado en planta 5. Está distribuido en 2 habitaciones, 2 baños completos. Incluye extras como ascensor, garaje y trastero.;43,444848064;-3,863076519;5ª planta;cantabria
209.000 €;;/comprar/piso-laredo_centro39770-43340683669_108500/;Centro (Laredo);3 habs.;2 baños;115 m²;Desde inmobiliaria uranga os presentamos este piso en el centro de laredo al lado de todos los servicios y de la playa. Se trata d...;43.413148955;-3.415600326;;cantabria
83.000 €;;/comprar/chalet-ampuero_centro_urbano-45022724794_108500/;Ampuero;4 habs.;1 baño;280 m²;Desde inmobiliaria uranga les presentamos esta casa individual con terreno en ampuero, en la zona de marrón , para reformar. Casa ...;43.348455689;-3.433899996;;cantabria
600.000 €;;/comprar/piso-zona_playa-43351658440_106000/;Zona Playa (Laredo);4 habs.;3 baños;;"¡Exclusivo dúplex en primera línea de playa, con una decoración exquisita y lista para entrar a vivir!

Inmobiliaria mi villa les ...";43.419785672;-3.444052477;6ª planta;cantabria
385.000 €;;/comprar/piso-zona_playa-40858706847_108500/;Zona Playa (Laredo);4 habs.;3 baños;210 m²;Desde inmobiliaria uranga le presentamos este estupendo piso en segunda línea de playa en la zona ever de laredo. Inmueble situado...;43.417118502;-3.44149076;;cantabria
120.000 €;;/comprar/atico-barcena_de_cicero_centro_urbano-45094507192_106000/;Bárcena de Cicero;3 habs.;1 baño;;"¡Piso en el centro de treto!

Desde inmobiliaria mi villa les presentamos este ático de 89m² con una gran terraza de 20m² y vistas...";43.391822178;-3.474441162;;cantabria
125.000 €;;/comprar/apartamento-noja_ris-44243704051_287500/;Ris (Noja);2 habs.;1 baño;65 m²;Ref 000094 - nojasol inmobiliaria vende en exclusiva en noja, en la zona de playa de ris, precioso apartamento tipo dúplex, muy lu...;43.487900863;-3.529174623;2ª planta;cantabria
180.000 €;;/comprar/piso-zona_playa-44192492238_106000/;Zona Playa (Laredo);3 habs.;1 baño;78 m²;"¡Increíble piso cerca del mar! 

Desde inmobiliaria mi villa les presentamos este increíble piso de 3 habitaciones a unos pocos me...";43.410000824;-3.436192515;11ª planta;cantabria
398.000 €;;/comprar/chalet-limpias_sena-39262756931_106000/;Seña (Limpias);4 habs.;4 baños;228 m²;"Exclusiva ¡ Descubre este chalet a 5 minutos de la playa !

Inmobiliaria mi villa les presenta en exclusiva este maravilloso chale...";43.399232701;-3.417367779;;cantabria
285.000 €;Piso en Avenida de Enrique Mowinckel, 1;/comprar/piso-zona_playa-45083170562_515274/;Zona Playa (Laredo);2 habs.;2 baños;95 m²;En primera línea de playa, con salida propia al maravilloso paseo de laredo y en una preciosa urbanización con seguridad, se encue...;43.42029;-3.4430988;Bajo;cantabria
279.000 €;;/comprar/piso-numancia_san_fernando39007-41700508533_100500/;Numancia-San Fernando (Santander);3 habs.;2 baños;117 m²;"Excelente oportunidad de vivir en plena calle san fernando, primera línea, junto a la alameda, 
Vivienda amplia y sin barreras arq...";43.4617119;-3.8211193;4ª planta;cantabria
240.000 €;;/comprar/piso-carlos_v-44247739800_106000/;Carlos V (Laredo);3 habs.;1 baño;;"¡Exclusiva! Maravilloso piso en carlos v. 

Desde inmobiliaria mi villa les presentamos en exclusiva este luminoso y amplio inmueb...";43.407788909;-3.424562763;1ª planta;cantabria
194.000 €;;/comprar/chalet-boo_de_pielagos-40079319443_100500/;Boo de Piélagos (Piélagos);4 habs.;1 baño;207 m²;Oportunidad. Mies de rial presenta estupenda casa pareada en esquina en boo de piélagos, semireformada, con un bonito jardín en es...;43.427563072;-3.934840017;;cantabria
329.000 €;Chalet en Bº Ladredo,  75;/comprar/chalet-centro_urbano_distrito39609-3528715705_109700/;Centro Urbano (Camargo);4 habs.;3 baños;135 m²;Chalet pareado de obra nueva de 135 m² de superficie construida y situado en la zona de camargo. Está estructurado en 4 habitacion...;43.4027002;-3.8782093;;cantabria
380.000 €;Chalet unifamiliar en Barrio Baltezana, 1;/comprar/chalet_unifamiliar-otanes_baltezana_onton39706-45054954696_528259/;Otañes-Baltezana-Ontón (Castro Urdiales);3 habs.;3 baños;230 m²;"¡Obra iniciada! ¡Última vivienda!
Portex inmobiliaria tiene el placer de presentaros estas maravillosas viviendas unifamiliares.

...";43.34574697413629;-3.171563394640401;;cantabria
195.000 €;;/comprar/piso-zona_playa-43417863174_108500/;Zona Playa (Laredo);3 habs.;2 baños;75 m²;Desde inmobiliaria uranga le presentamos este estupendo piso en segunda línea de playa en la zona ever de laredo. Piso amplio, muy...;43.419785672;-3.444052477;;cantabria
