precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude;CCAA
180.000 €;;/comprar/piso-zona_playa-44192492238_106000/;Zona Playa (Laredo);3 habs.;1 baño;78 m²;11ª planta;"¡Increíble piso cerca del mar! 

Desde inmobiliaria mi villa les presentamos este increíble piso de 3 habitaciones a unos pocos me...";43.410000824;-3.436192515;cantabria
395.000 €;;/comprar/chalet-laredo_el_puntal-44196978932_106000/;El Puntal (Laredo);4 habs.;4 baños;224 m²;;"¡Exclusivo chalet con una decoración exquisita, lista para entrar a vivir y a pocos metros de la playa salvé!

Inmobiliaria mi vil...";43.4222146;-3.4491512;cantabria
310.000 €;;/comprar/casa_pareada-rioseco_de_guriezo-20927461193_100500/;Rioseco de Guriezo (Guriezo);4 habs.;3 baños;200 m²;;"Chalet adosado guriezo - altas calidades - soleado - jardín - 4 habitaciones

Tenemos el placer de presentaros este precioso chale...";43.345581626;-3.322651769;cantabria
380.000 €;;/comprar/chalet-laredo_el_puntal-43409586294_108500/;El Puntal (Laredo);5 habs.;4 baños;245 m²;;Desde inmobiliaria uranga os presentamos este chalet pareado que forma parte de una residencia privada en laredo en la zona del pu...;43.427671473;-3.448087664;cantabria
220.000 €;;/comprar/piso-carlos_v-40920030658_106000/;Carlos V (Laredo);1 hab.;1 baño;;3ª planta;"¡Bonito inmueble listo para entrar a vivir!

Desde inmobiliaria mi villa les presentamos este bonito piso de 67m² , con una ubicac...";43.408415923;-3.429920684;cantabria
114.000 €;;/comprar/piso-selaya_centro_urbano-37541115906_511103/;Selaya;3 habs.;1 baño;94 m²;1ª planta;"Santanderhouse. Venta de de piso 94 m² en selaya.
La vivienda se distribuye en hall, tres habitaciones, un baño exterior (reformad...";43.211126326;-3.805551373;cantabria
385.000 €;;/comprar/piso-zona_playa-40858706847_108500/;Zona Playa (Laredo);4 habs.;3 baños;210 m²;;Desde inmobiliaria uranga le presentamos este estupendo piso en segunda línea de playa en la zona ever de laredo. Inmueble situado...;43.417118502;-3.44149076;cantabria
148.000 €;;/comprar/piso-laredo_centro39770-44247777560_106000/;Centro (Laredo);3 habs.;1 baño;;4ª planta;"¡Exclusiva! Amplia vivienda en el centro de laredo.

Desde inmobiliaria mi villa les presentamos en exclusiva este increíble inmue...";43.412120889;-3.409073912;cantabria
395.000 €;;/comprar/casa-oruna_de_pielagos-34202956756_511103/;Oruña de Piélagos (Piélagos);4 habs.;2 baños;350 m²;;"Santanderhouse. Vende chalet independiente en oruña de pielagos.
Estupenda casa de 350m² construidos en dos alturas, la casa se di...";43.355268701;-3.955148643;cantabria
189.000 €;;/comprar/piso-zona_playa-44265589178_106000/;Zona Playa (Laredo);2 habs.;2 baños;;1ª planta;"¡Exclusiva! Fantástico piso totalmente reformado en zona ever de laredo. 

Desde inmobiliaria mi villa les presentamos en exclusiv...";43.420526312;-3.445962753;cantabria
116.400 €;;/comprar/piso-argonos_centro_urbano-40852746540_100500/;Argoños;2 habs.;2 baños;70 m²;1ª planta;Os presentamos esta encantadora vivienda situada en argoños, localidad tranquila muy cerca de las principales playas de la zona y ...;43.4558;-3.50186;cantabria
123.900 €;;/comprar/piso-villaverde_de_pontones-25926082721_101800/;Villaverde de Pontones (Ribamontán Al Monte);3 habs.;2 baños;91 m²;;Amplio y soleado piso en esquina a tres calles, orientación oeste-este y norte. Distribuido en 3 dormitorios (2 de ellos con acces...;43.41251592;-3.698689251;cantabria
320.000 €;;/comprar/casa_pareada-pedrena-40859678193_101800/;Pedreña (Marina de Cudeyo);3 habs.;3 baños;150 m²;;Impecable chalet pareado en pedreña de 150m² aproximadamente. Distribuido en 3 espaciosos dormitorios (principal con baño, vestido...;43.437517591;-3.768693128;cantabria
209.000 €;;/comprar/piso-laredo_centro39770-43406198907_100500/;Centro (Laredo);3 habs.;2 baños;118 m²;2ª planta;Desde inmobiliaria jc les presentamos esta increíble oportunidad en el corazón de laredo, donde el encanto del mar se combina con ...;43.412848113;-3.415599158;cantabria
164.900 €;;/comprar/casa-ramales-43362270735_106000/;Ramales (Ramales de la Victoria);5 habs.;2 baños;292 m²;;"¡Casa en ramales en un entorno de paz y tranquilidad! 

Desde inmobiliaria mi villa les presentamos esta increíble casa ubicada en...";43.265774395;-3.421774581;cantabria
390.000 €;Chalet unifamiliar en calle Torres Arriba, nº 54;/comprar/chalet_unifamiliar-dualez_ganzo_torres-45031797950_990805/;Duález-Ganzo-Torres (Torrelavega);4 habs.;3 baños;300 m²;;¡Descubre tu nuevo hogar en un entorno de ensueño! Presentamos esta magnífica casa independiente, construida en 2004 con las más a...;43.35187;-4.069045;cantabria
397.000 €;;/comprar/casa_adosada-isla_playa-34237886671_100500/;Isla Playa (Arnuero);5 habs.;4 baños;224 m²;;En isla, impecable adosado en esquina con amplia parcela de terreno. Situada en una zona muy tranquila de isla a un paseo de la pl...;43.498631378;-3.55803125;cantabria
260.000 €;;/comprar/casa_adosada-argonos_centro_urbano-45907743023_100500/;Argoños;3 habs.;3 baños;145 m²;;Te presentamos un encantador chalet en arnuero, perfectamente conservado y listo para convertirse en tu nuevo hogar. Situado a poc...;43.457943293;-3.49183994;cantabria
200.000 €;Piso en Avenida de José Ortega y Gasset,  s/n;/comprar/piso-penacastillo_nueva_montana39011-4222795115_109700/;Peñacastillo-Nueva Montaña (Santander);2 habs.;2 baños;103 m²;2ª planta;Portal 5, 2º C, V2D.06. Piso en una finca de obra nueva de 103 m2 de superficie construida y emplazado en la zona de Santander, posicionado en planta 2. Está dispuesto en 2 habitaciones, 2 baños completos y terraza. Cuenta como extras ascensor, garaje.;43,4464903;-3,8636812;cantabria
210.000 €;;/comprar/duplex-torrelavega_sierrapando-44206960559_106000/;Sierrapando (Torrelavega);3 habs.;2 baños;111 m²;3ª planta;Este magnifico duplex de 111m² ofrece unas vistas espectaculares en una de las zonas privilegiadas de torrelavega. Con 3 dormitori...;43.350627371;-4.04515263;cantabria
173.000 €;Chalet en calle La Madrid, nº 1;/comprar/chalet-barcena_de_cicero_centro_urbano-35836555072_106000/;Bárcena de Cicero;7 habs.;7 baños;419 m²;;A la venta preciosa casa de piedra situada en gama. En muy buena zona residencial de viviendas unifamiliares y  junto a todos los ...;43.4125;-3.52633;cantabria
237.000 €;;/comprar/duplex-colindres_centro_urbano-8338836494_106000/;Colindres;5 habs.;3 baños;Más de 20;;"Duplex en urbanización  tranquila, con  piscina  y  jardines.
En la primera planta disponemos de un gran salón comedor, cocina equ...";43.397467307;-3.444758364;cantabria
223.000 €;;/comprar/casa_adosada-barcena_de_cicero_centro_urbano-15930364584_106000/;Bárcena de Cicero;4 habs.;2 baños;200 m²;;"Precioso chalet adosado en residencial con piscina en cicero
Ubicado en una bonita zona residencial, rodeado de naturaleza y tranq...";43.419987658;-3.506543834;cantabria
490.000 €;;/comprar/casa_pareada-centro_urbano_distrito39609-44208710256_100500/;Centro Urbano (Camargo);5 habs.;3 baños;305 m²;;"Exclusivo chalet en una zona privilegiada de muriedas, a menos de 10 minutos de santander. 

Ubicado en una tranquila urbanización...";43.400056538;-3.888943238;cantabria
370.000 €;;/comprar/piso-castro_urdiales_centro-27536169129_106000/;Centro (Castro Urdiales);4 habs.;3 baños;Más de 20;;"¡Oportunidad!Maravilloso piso con vistas al mar en el centro
Ubicado en el pleno centro de castro urdiales con todos los servicios...";43.38076418;-3.218512171;cantabria
300.000 €;;/comprar/chalet-arnuero_centro_urbano-37518860010_100500/;Arnuero;5 habs.;1 baño;411 m²;;Tenemos el placer de presentaros esta casa en castillo. Situado a tan solo cinco minutos de las preciosas playas de berria, helgue...;43.465860426;-3.535431874;cantabria
349.000 €;;/comprar/chalet_adosado-castro_urdiales_samano39709-44260660143_513173/;Sámano (Castro Urdiales);4 habs.;5 baños;254 m²;;Se vende chalet adosado en una de las urbanizaciones más cotizadas de sámano, debido a la calidad de sus materiales y la  privileg...;43.3586989;-3.2308083;cantabria
224.000 €;Piso en calle Manuel Velez, 10;/comprar/piso-penacastillo_nueva_montana39011-4153833148_109700/;Peñacastillo-Nueva Montaña (Santander);3 habs.;2 baños;115 m²;3ª planta;Piso en un edificio de obra nueva de 115 m² de superficie construida y ubicado en la zona de santander, enclavado en planta 3. Es...;43.4396068;-3.8533506;cantabria
398.000 €;;/comprar/chalet-barcena_de_cicero_centro_urbano-28412093645_108500/;Bárcena de Cicero;5 habs.;4 baños;490 m²;;Desde inmobiliaria uranga os presentamos este espectacular chalet en bárcena de cicero. Chalet totalmente preparado para entrar a ...;43.419697654;-3.509487532;cantabria
209.000 €;;/comprar/piso-laredo_centro39770-43336842628_106000/;Centro (Laredo);3 habs.;2 baños;;2ª planta;"¡Amplio y luminoso piso en el centro de laredo!

Desde inmobiliaria mi villa les presentamos este maravilloso piso de 115m² en el ...";43.413148955;-3.415600326;cantabria
115.000 €;;/comprar/duplex-boo_de_pielagos-33344761235_181900/;Boo de Piélagos (Piélagos);2 habs.;1 baño;70 m²;2ª planta;Bonito dúplex de dos habitaciones en la urbanización ria del pas , es un segundo piso con ascensor. Lla vivienda se encuentra en p...;43.424935381;-3.951074146;cantabria
275.000 €;;/comprar/chalet_pareado-camargo_muriedas39600-45052027582_993117/;Muriedas (Camargo);3 habs.;3 baños;144 m²;;"¡Oportunidad única en muriedas! Chalet pareado con todas las comodidades
¿Buscas un chalet espacioso, luminoso y con una excelente...";43.421891452;-3.849198312;cantabria
105.000 €;;/comprar/piso-colindres_centro_urbano-30871303496_102200/;Colindres;3 habs.;1 baño;100 m²;1ª planta;En el centro de colindres se ubica este amplio piso totalmente exterior, con  terraza de 50mt y balcón de 5mt, en edificio con apa...;43.397756534;-3.452457348;cantabria
215.000 €;;/comprar/casa-guriezo_revilla-45089877514_528259/;Revilla (Guriezo);3 habs.;3 baños;181 m²;;"Portex inmobiliaria: regalamos el seguro de hogar básico el primer año y un 5% de descuento en cualquier obra o reforma.

Estoy se...";43.344410851;-3.330199665;cantabria
123.000 €;;/comprar/piso-rinconeda-44212611897_993117/;Rinconeda (Polanco);2 habs.;1 baño;68 m²;1ª planta;"Piso con garaje cerrado y trastero en rinconeda (polanco), muy bien ubicado.

Tiene dos habitaciones y un baño, recibidor, cocina ...";43.381475461;-4.037735124;cantabria
350.000 €;;/comprar/chalet_adosado-soto_de_la_marina-45922812913_993117/;Soto de La Marina (Santa Cruz de Bezana);5 habs.;3 baños;268 m²;;"¡Oportunidad única en soto de la marina!
Se vende chalet en esquina, en urbanización con piscina y zonas verdes, a un paso de la p...";43.4694015;-3.8903057;cantabria
150.000 €;;/comprar/casa_rustica-limpias_centro_urbano-20910411053_100500/;Limpias;3 habs.;2 baños;353 m²;;Se vende en exclusiva casa adosada de 353 m² construidos, en el centro del pueblo, al lado del paseo de la ria del ason de limpias...;43.366552389;-3.427949511;cantabria
210.000 €;Casa en Barrio de Nocina;/comprar/casa-rioseco_de_guriezo-18405744813_102200/;Rioseco de Guriezo (Guriezo);3 habs.;1 baño;295 m²;;En la entrada del municipio de guriezo se encuentra esta ocasión de poder adquirir un inmueble con 2550 mt de terreno urbano a un ...;43.3804;-3.31832;cantabria
140.000 €;Piso en Avenida de Francia, 34;/comprar/piso-zona_playa-35075202479_102200/;Zona Playa (Laredo);2 habs.;1 baño;60 m²;;Enntre la playa y el hospital de laredo, se encuentra este piso en planta baja en muy buen estado de conservación con parking comu...;43.4172;-3.44157;cantabria
428.000 €;Piso en Monte de La Torre, nº 17;/comprar/piso-valdenoja_la_pereda39012-8793513154_109700/;Monte (Santander);2 habs.;2 baños;124 m²;;Piso en un edificio de obra nueva de 124 m² de superficie construida y ubicado en la zona de santander. Está distribuido en 2 habi...;43.4729467;-3.81765340000004;cantabria
248.000 €;;/comprar/piso-castro_urdiales_centro-44188641314_519016/;Centro (Castro Urdiales);3 habs.;2 baños;108 m²;4ª planta;En exclusiva una amplia vivienda en la zona de leonardo rucabado a escasos metro de la plaza de la barrera y parque de la música. ...;43.379267825;-3.219488784;cantabria
58.000 €;Estudio en Avenida de la Libertad, 84;/comprar/estudio-laredo_el_puntal-44166824287_501237/;El Puntal (Laredo);2 habs.;1 baño;20 m²;;"¡Oportunidad única en zona ever! A la venta chambres en planta baja de residencia privada.

¡Descubre esta increíble oportunidad e...";43.42381;-3.4475183;cantabria
150.000 €;;/comprar/piso-miengo_centro_urbano-43405051293_993117/;Miengo;2 habs.;1 baño;67 m²;Bajo;En miengo, localidad de cantabria, situada a 15 kms de santander, y 10 kms de torrelavega, por la a67,situado en zona del litoral,...;43.431783348;-4.006579026;cantabria
170.000 €;Piso en Avenida de los Derechos Humanos, 14;/comprar/piso-zona_playa-45878559147_501239/;Zona Playa (Laredo);3 habs.;1 baño;85 m²;3ª planta;¿Buscas un hogar acogedor y modernizado en una ubicación privilegiada? ¡Tenemos la propiedad perfecta para ti en laredo! A pocos m...;43.40949176617559;-3.432411342188459;cantabria
